fecha,demanda_MWh
2017-02-09,801543.878
2017-02-10,810352.774
2017-02-11,736084.836
2017-02-12,678862.766
2017-02-13,785841.799
2017-02-14,788796.954
2017-02-15,775997.157
2017-02-16,778586.428
2017-02-17,772198.016
2017-02-18,701068.722
2017-02-19,650002.868
2017-02-20,763104.063
2017-02-21,773555.684
2017-02-22,769927.659
2017-02-23,774783.049
2017-02-24,768733.485
2017-02-25,689257.508
2017-02-26,639555.818
2017-02-27,741530.72
2017-02-28,746053.565
2017-03-01,759946.768
2017-03-02,763569.898
2017-03-03,774329.746
2017-03-04,706427.594
2017-03-05,650806.971
2017-03-06,742278.676
2017-03-07,750454.903
2017-03-08,738763.446
2017-03-09,733773.192
2017-03-10,722061.344
2017-03-11,646815.723
2017-03-12,603914.043
2017-03-13,738362.394
2017-03-14,751881.092
2017-03-15,737002.077
2017-03-16,733165.208
2017-03-17,725396.333
2017-03-18,647495.696
2017-03-19,596769.468
2017-03-20,696202.895
2017-03-21,735184.495
2017-03-22,752498.769
2017-03-23,765141.794
2017-03-24,777112.401
2017-03-25,702109.452
2017-03-26,615279.047
2017-03-27,752452.857
2017-03-28,749190.56
2017-03-29,740480.155
2017-03-30,730169.661
2017-03-31,726136.892
2017-04-01,660366.042
2017-04-02,612970.34
2017-04-03,717886.98
2017-04-04,731511.346
2017-04-05,729483.28
2017-04-06,726582.898
2017-04-07,720099.808
2017-04-08,651738.634
2017-04-09,597656.302
2017-04-10,695538.758
2017-04-11,707219.894
2017-04-12,694467.17
2017-04-13,605880.528
2017-04-14,559752.619
2017-04-15,590162.907
2017-04-16,559525.843
2017-04-17,616373.08
2017-04-18,696190.048
2017-04-19,716827.223
2017-04-20,715778.602
2017-04-21,713856.583
2017-04-22,648300.654
2017-04-23,593441.183
2017-04-24,679709.918
2017-04-25,718206.582
2017-04-26,727071.917
2017-04-27,736488.013
2017-04-28,731294.805
2017-04-29,657607.178
2017-04-30,601945.005
2017-05-01,576647.958
2017-05-02,684555.249
2017-05-03,716650.525
2017-05-04,720216.639
2017-05-05,717887.944
2017-05-06,645258.772
2017-05-07,591291.214
2017-05-08,701838.514
2017-05-09,719220.916
2017-05-10,722357.998
2017-05-11,720311.77
2017-05-12,713437.711
2017-05-13,641735.646
2017-05-14,588756.865
2017-05-15,689107.047
2017-05-16,727065.784
2017-05-17,726868.807
2017-05-18,725202.736
2017-05-19,710927.215
2017-05-20,642947.328
2017-05-21,595144.19
2017-05-22,707215.908
2017-05-23,735713.079
2017-05-24,744762.226
2017-05-25,753708.067
2017-05-26,751802.485
2017-05-27,676432.459
2017-05-28,614285.606
2017-05-29,720317.959
2017-05-30,730950.193
2017-05-31,736466.626
2017-06-01,747518.87
2017-06-02,753609.124
2017-06-03,679426.673
2017-06-04,611001.936
2017-06-05,703309.683
2017-06-06,740130.509
2017-06-07,749355.998
2017-06-08,761866.923
2017-06-09,759329.608
2017-06-10,694435.316
2017-06-11,650192.062
2017-06-12,788982.005
2017-06-13,817984.82
2017-06-14,833791.039
2017-06-15,840938.662
2017-06-16,843222.117
2017-06-17,775071.419
2017-06-18,714249.156
2017-06-19,838636.414
2017-06-20,851662.309
2017-06-21,854595.14
2017-06-22,855949.555
2017-06-23,835352.735
2017-06-24,748147.739
2017-06-25,690609.154
2017-06-26,805439.019
2017-06-27,810662.661
2017-06-28,785930.599
2017-06-29,749639.349
2017-06-30,732881.027
2017-07-01,665287.066
2017-07-02,621685.663
2017-07-03,746866.343
2017-07-04,783170.813
2017-07-05,793964.362
2017-07-06,784389.237
2017-07-07,774032.849
2017-07-08,695057.396
2017-07-09,644495.83
2017-07-10,780556.382
2017-07-11,811274.869
2017-07-12,841963.111
2017-07-13,864108.624
2017-07-14,858571.269
2017-07-15,764624.451
2017-07-16,696716.06
2017-07-17,829407.742
2017-07-18,853182.301
2017-07-19,843294.513
2017-07-20,823513.511
2017-07-21,803777.579
2017-07-22,722232.749
2017-07-23,662966.167
2017-07-24,781909.147
2017-07-25,775633.496
2017-07-26,794953.654
2017-07-27,821649.128
2017-07-28,825860.618
2017-07-29,752296.225
2017-07-30,694030.592
2017-07-31,786533.772
2017-08-01,809483.41
2017-08-02,815805.124
2017-08-03,830503.29
2017-08-04,844863.393
2017-08-05,766691.996
2017-08-06,696275.799
2017-08-07,800407.779
2017-08-08,790770.479
2017-08-09,756459.917
2017-08-10,722882.422
2017-08-11,722937.075
2017-08-12,667734.597
2017-08-13,624358.656
2017-08-14,705119.924
2017-08-15,667476.848
2017-08-16,750783.924
2017-08-17,769223.326
2017-08-18,781714.003
2017-08-19,712994.524
2017-08-20,663334.377
2017-08-21,781801.298
2017-08-22,803185.833
2017-08-23,805156.019
2017-08-24,801839.414
2017-08-25,794656.486
2017-08-26,722123.643
2017-08-27,660169.139
2017-08-28,769338.138
2017-08-29,769062.605
2017-08-30,756948.043
2017-08-31,758167.555
2017-09-01,745637.679
2017-09-02,670569.574
2017-09-03,625267.091
2017-09-04,751839.982
2017-09-05,789340.76
2017-09-06,795949.088
2017-09-07,787398.911
2017-09-08,757985.149
2017-09-09,674350.616
2017-09-10,609041.459
2017-09-11,709090.262
2017-09-12,751786.559
2017-09-13,764653.17
2017-09-14,768171.308
2017-09-15,734716.881
2017-09-16,650104.944
2017-09-17,599304.06
2017-09-18,712364.514
2017-09-19,734767.262
2017-09-20,735501.297
2017-09-21,737581.238
2017-09-22,737987.102
2017-09-23,661606.811
2017-09-24,611771.695
2017-09-25,726403.86
2017-09-26,742539.212
2017-09-27,743372.807
2017-09-28,742938.183
2017-09-29,740245.271
2017-09-30,663770.14
2017-10-01,608897.77
2017-10-02,729774.425
2017-10-03,734087.171
2017-10-04,751873.178
2017-10-05,754739.627
2017-10-06,751310.87
2017-10-07,659217.858
2017-10-08,605654.988
2017-10-09,706351.406
2017-10-10,732202.404
2017-10-11,730089.89
2017-10-12,628211.176
2017-10-13,675209.676
2017-10-14,643437.968
2017-10-15,601044.997
2017-10-16,718351.947
2017-10-17,731643.127
2017-10-18,730292.911
2017-10-19,719557.673
2017-10-20,719103.852
2017-10-21,646738.804
2017-10-22,591488.872
2017-10-23,705183.881
2017-10-24,725529.056
2017-10-25,729923.941
2017-10-26,724883.635
2017-10-27,722316.144
2017-10-28,642175.793
2017-10-29,614270.002
2017-10-30,707167.017
2017-10-31,718185.313
2017-11-01,615921.655
2017-11-02,707921.111
2017-11-03,719459.192
2017-11-04,645817.412
2017-11-05,597686.629
2017-11-06,716972.599
2017-11-07,744822.203
2017-11-08,759905.745
2017-11-09,759861.963
2017-11-10,764532.188
2017-11-11,683015.399
2017-11-12,630568.913
2017-11-13,754680.556
2017-11-14,783837.983
2017-11-15,789164.992
2017-11-16,787289.911
2017-11-17,779087.427
2017-11-18,698082.147
2017-11-19,645371.4
2017-11-20,768722.248
2017-11-21,788658.495
2017-11-22,794652.02
2017-11-23,782339.118
2017-11-24,772036.18
2017-11-25,699834.74
2017-11-26,651682.382
2017-11-27,785800.132
2017-11-28,809687.538
2017-11-29,815675.267
2017-11-30,820643.977
2017-12-01,831437.788
2017-12-02,764719.224
2017-12-03,715939.553
